X	Y	Z
25125.91	19641.703	35.832
25609.174	25481.576	47.93
26294.361	15093.636	135.981
26231.688	18279.289	91.751
26515.424	18984.086	25.945
26895.711	17218.494	-6.429
27637.064	15796.658	47.554
27608.027	20376.703	161.567
30852.941	6322.112	98.5
5488.405	17831.727	49.671
5718.929	21095.615	19.505
8439.171	22543.184	55.278
8545.998	16063.859	37.565
8695.843	15334.975	-27.352
8936.713	12818.19	140.682
10033.357	9476.681	69.118
10297.099	8574.43	65.534
10528.674	13010.271	56.662
11051.242	19037.199	91.199
10940.115	19878.104	802.818
12045.865	2998.448	5.881
12593.225	4399.284	15.297
12722.751	2594.929	93.207
12746.215	20097.65	150.855
13022.246	24808.73	54.272
14229.235	20386.609	101.004
14516.838	15522.689	102.176
14603.565	27554.977	55.118
15397.775	22738.643	-5.602
15666.203	10433.274	163.882
16159.414	18242.641	53.325
18204.84	14554.488	18.37
18599.064	6801.183	49.112
18701.924	13450.89	57.686
19620.785	13694.593	155.712
20145.461	10049.084	225.748
20188.441	13187.019	36.742
20128.928	18320.684	-7.719
20192.957	19307.508	236
20915.354	13066.459	-4.447
21330.367	6981.56	147.579
22085.77	10706.172	128.733
22239.5	17935.094	120.064
22486.467	14096.818	56.965
23081.609	1034.959	129.337
23654.053	19579.549	67.901
23961.029	24364.33	126.301
24430.436	23832.672	147.696
24665.037	16506.033	-25.935
24856.387	25657.064	23.599
25479.736	15924.491	67.654
25611.084	25468.5	77.646
27600.74	20357.512	33.1
29169.449	20404.492	340.143
4140.227	15397.646	86.185
4200.044	20149.711	128.601
5494.542	17839.234	2.025
6748.857	23470.139	15.537
7089.959	14831.579	29.25
8224.973	23651.027	-36.631
8881.551	12818.383	18.37
8999.913	1443.984	11.226
9214.848	20042.242	268.334
10216.374	7275.49	204.917
10568.295	13047.218	10.906
12732.699	21072.521	224.722
12641.42	25145.053	11.212
13336.133	9361.662	66.234
14221.914	20376.424	170.039
14530.374	11283.191	-18.664
15154.495	25509.965	30.374
15715.434	6238.442	68.849
17338.641	5959.489	63.277
17762.855	11144.647	4.029
17842.883	25852.932	128.749
18287.686	10140.672	27.037
18450.635	6772.87	112.515
19714.766	23994.002	92.45
19975.943	11657.1	79.053
19918.514	27174.16	12.438
20060.439	9893.34	134.083
20181.547	18334.021	59.075
20641.562	7696.073	86.598
20610.668	25209.566	255.819
